year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-02,2026-02-17,Mar 02,1.0,1.0,1.0
2000,10,2000-06-16,2000-06-05,Jun 16,0.66,0.52,0.8
2025,3,2025-03-12,2025-02-27,Mar 12,0.632,0.5333,0.7308
2001,16,2001-09-10,2001-08-28,Sep 10,0.6294,0.5087,0.75
2025,4,2025-03-26,2025-03-13,Mar 26,0.6154,0.5386,0.6923
2002,4,2002-03-26,2002-03-13,Mar 26,0.6125,0.5582,0.6667
2022,24,2022-12-30,2022-12-19,Dec 30,0.61,0.6046,0.6154
2000,20,2000-11-03,2000-10-23,Nov 03,0.6084,0.4667,0.75
2026,0,2025-03-31,2025-03-18,Mar 31,0.6073,0.5223,0.6923
2026,1,2025-04-14,2025-04-01,Apr 14,0.5956,0.5374,0.6538
